LakiKota,PerempuanKota,LPKota,LakiDesa,PerempuanDesa,LPDesa
19.14,18.5,18.82,10.47,10.26,10.36
13.07,15.07,14.08,8.13,8.36,8.25
10.83,11.52,11.18,4.34,4.32,4.33
8.27,9.81,9.02,5.62,5.93,5.77
14.32,11.27,12.8,5.04,4.81,4.93
12.14,8.26,10.19,5.78,5.85,5.82
15.11,15.15,15.13,5.22,4.55,4.9
9.12,7.1,8.11,6.36,5.19,5.79
13.51,13.59,13.55,13.12,12.35,12.76
17.4,16.73,17.07,11.47,15.05,13.17
17.42,16.42,16.92,0,0,0
16.23,15.04,15.64,8.32,7.02,7.67
16.51,14.41,15.44,13.22,12.01,12.61
30.46,28.2,29.34,18.69,17.31,17.95
16.54,16.02,16.28,17.55,16.11,16.81
11.68,9.61,10.67,5.33,2.29,3.84
